"view_index","file","source_capture","source_path","content_x","content_y","content_width","content_height","hash"
"1","corridor_view_001_capture_0001.png","capture_0001","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0001","0","120","176","120","d663a4d66506f8be"
"2","corridor_view_002_capture_0003.png","capture_0003","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0003","0","120","176","120","c6397a4069f7a4d8"
"3","corridor_view_003_capture_0004.png","capture_0004","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0004","0","120","176","120","902ac9778a4e5d0d"
"4","corridor_view_004_capture_0007.png","capture_0007","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0007","0","120","176","120","ee5be43d2496e053"
"5","corridor_view_005_capture_0008.png","capture_0008","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0008","0","120","176","120","4335c28aeda7677d"
"6","corridor_view_006_capture_0009.png","capture_0009","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0009","0","120","176","120","1d3c557a834e8675"
"7","corridor_view_007_capture_0016.png","capture_0016","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0016","0","120","176","120","0a31fac594cf8bb8"
"8","corridor_view_008_capture_0017.png","capture_0017","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0017","0","120","176","120","78d37d14397ec40e"
"9","corridor_view_009_capture_0018.png","capture_0018","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0018","0","120","176","120","a92f7891760090da"
"10","corridor_view_010_capture_0020.png","capture_0020","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0020","0","120","176","120","d87c29da144b636a"
"11","corridor_view_011_capture_0021.png","capture_0021","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0021","0","120","176","120","fbdb62d20cdce3b3"
"12","corridor_view_012_capture_0026.png","capture_0026","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0026","0","120","176","120","cd26c2c7b0fe6ac7"
"13","corridor_view_013_capture_0027.png","capture_0027","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0027","0","120","176","120","9453af86a31fa4d9"
"14","corridor_view_014_capture_0028.png","capture_0028","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0028","0","120","176","120","73c8712bf4db5d7c"
"15","corridor_view_015_capture_0029.png","capture_0029","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0029","0","120","176","120","e367b6f7f2b3e603"
"16","corridor_view_016_capture_0030.png","capture_0030","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0030","0","120","176","120","09e743b33ca3e6cd"
"17","corridor_view_017_capture_0031.png","capture_0031","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0031","0","120","176","120","1c85e0c7532a8eb0"
"18","corridor_view_018_capture_0033.png","capture_0033","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0033","0","120","176","120","7ab7be66e4d172f9"
"19","corridor_view_019_capture_0034.png","capture_0034","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0034","0","120","176","120","cf25757fb914bd22"
"20","corridor_view_020_capture_0039.png","capture_0039","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0039","0","120","176","120","79d3122ffbcb56b3"
"21","corridor_view_021_capture_0040.png","capture_0040","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0040","0","120","176","120","aeeeeac1ca986264"
"22","corridor_view_022_capture_0041.png","capture_0041","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0041","0","120","176","120","c97548fa4e89f7d0"
"23","corridor_view_023_capture_0047.png","capture_0047","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0047","0","120","176","120","3485e885be8550a2"
"24","corridor_view_024_capture_0048.png","capture_0048","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0048","0","120","176","120","41779678345dff82"
"25","corridor_view_025_capture_0051.png","capture_0051","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0051","0","120","176","120","4be437ec0e4234aa"
"26","corridor_view_026_capture_0058.png","capture_0058","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0058","0","120","176","120","5d129a08ecc60401"
"27","corridor_view_027_capture_0059.png","capture_0059","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0059","0","120","176","120","bcef96ee0c9a614c"
"28","corridor_view_028_capture_0067.png","capture_0067","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0067","0","120","176","120","24bc4b741a743357"
"29","corridor_view_029_capture_0068.png","capture_0068","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0068","0","120","176","120","7773298dabcdeae8"
"30","corridor_view_030_capture_0070.png","capture_0070","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0070","0","120","176","120","e79302030b28b7d4"
"31","corridor_view_031_capture_0074.png","capture_0074","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0074","0","120","176","120","b1231a1016dca0d0"
"32","corridor_view_032_capture_0080.png","capture_0080","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0080","0","120","176","120","27fbfd89f68da87a"
"33","corridor_view_033_capture_0089.png","capture_0089","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0089","0","120","176","120","05846e0eb545890a"
"34","corridor_view_034_capture_0093.png","capture_0093","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0093","0","120","176","120","e6de34e1855cdb48"
"35","corridor_view_035_capture_0094.png","capture_0094","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0094","0","120","176","120","c484aa5b49fbb561"
"36","corridor_view_036_capture_0095.png","capture_0095","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0095","0","120","176","120","f5d889a6396b079a"
"37","corridor_view_037_capture_0101.png","capture_0101","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0101","0","120","176","120","00d80474cb3578a7"
"38","corridor_view_038_capture_0105.png","capture_0105","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0105","0","120","176","120","e560459c3ea4b369"
"39","corridor_view_039_capture_0106.png","capture_0106","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0106","0","120","176","120","6d48c21b7f0b9f5a"
"40","corridor_view_040_capture_0107.png","capture_0107","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0107","0","120","176","120","38931edd3c51f828"
"41","corridor_view_041_capture_0108.png","capture_0108","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0108","0","120","176","120","a98b30def856816a"
"42","corridor_view_042_capture_0115.png","capture_0115","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0115","0","120","176","120","7e50354cb6814b8a"
"43","corridor_view_043_capture_0116.png","capture_0116","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0116","0","120","176","120","92c4f352edaa3947"
"44","corridor_view_044_capture_0127.png","capture_0127","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0127","0","120","176","120","4cb5d33e7268e65f"
"45","corridor_view_045_capture_0134.png","capture_0134","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0134","0","120","176","120","8e670f723054520e"
"46","corridor_view_046_capture_0136.png","capture_0136","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0136","0","120","176","120","7ab803115474c46e"
"47","corridor_view_047_capture_0142.png","capture_0142","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0142","0","120","176","120","b501f42369138f2b"
"48","corridor_view_048_capture_0143.png","capture_0143","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0143","0","120","176","120","aeaee9ee62845de3"
"49","corridor_view_049_capture_0144.png","capture_0144","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0144","0","120","176","120","114a17a1e7b791ae"
"50","corridor_view_050_capture_0146.png","capture_0146","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0146","0","120","176","120","044e66c832697adf"
"51","corridor_view_051_capture_0147.png","capture_0147","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0147","0","120","176","120","a15acb4877152eed"
"52","corridor_view_052_capture_0148.png","capture_0148","D:\Godot\xybotsResearch\mame-src\snap\xybots_capture\capture_0148","0","120","176","120","8119b1841d65c725"
